Comment,Designator,Footprint,LCSC Part #,QTY,Price,Total Price
1N4148W-7-FSOD123_DIO-M,CR1,SOD123_DIO-M,C917030,1,0.0057,0.0057
1uF,C1 C2 C3 C7 C10,C0603K,C15849,5,0.0078,0.039
2.2uF,C4 C5 C6,C0603K,C913904,3,0.0227,0.0681
4.7K,R2 R3 R4 R6,R0603,C99782,4,0.0014,0.0056
4.7uF,C9,C0603K,C307467,1,0.0295,0.0295
560k,R7,R0603,C137699,1,0.0017,0.0017
DNP,R5,R0603,DNP,1,,0
ME6206A33M3G,U1,IC_ME6206A33M3G_MNM,C35259,1,0.0526,0.0526
OLED1306-RIBBON-WHITE,U$1,OLED-1306-RIBBON,,1,,0
R/A PIN HEADER,J1,2.54mm PINHEAD,C42431821,1,0.022,0.022
